element,result
1,-1.7881393432617188E-7
2,5.9604644775390625E-8
3,0.0000014901161193847656
4,8.344650268554688E-7
5,0.000006854534149169922
6,0.000004589557647705078
7,0.000001817941665649414
8,-2.980232238769531E-7
9,-0.000007987022399902344
10,-0.000008046627044677734
11,-0.000009059906005859375
12,0.0000019073486328125
13,0.000008225440979003906
14,0.000003427267074584961
15,0.000006020069122314453
16,-0.000008463859558105469
17,0.000008225440979003906
18,-0.0000023245811462402344
19,-0.000008165836334228516
20,0.000008046627044677734
21,-0.00001043081283569336
22,-0.0000209808349609375
23,0.00003600120544433594
24,0.0000029802322387695312
25,0.000014662742614746094
26,-0.000028401613235473633
27,0.00003063678741455078
28,-0.000007569789886474609
29,-5.662441253662109E-7
30,-0.00007969141006469727
31,0.000019669532775878906
32,-0.00008177757263183594
33,0.00008687376976013184
34,0.000004231929779052734
35,0.00009953975677490234
36,0.000011682510375976562
37,0.0000057220458984375
38,-0.0001036524772644043
39,-0.00010842084884643555
40,-0.00005435943603515625
41,0.0001016855239868164
42,0.00008958578109741211
43,0.00006401538848876953
44,0.000015676021575927734
45,0.00006896257400512695
46,-0.00011074542999267578
47,-0.00012451410293579102
48,0.000024437904357910156
49,-0.000046253204345703125
50,-0.00006461143493652344
