element,result
1,-2.384185791015625E-7
2,-0.000015139579772949219
3,-0.0000018477439880371094
4,-0.000005125999450683594
5,0.000009834766387939453
6,-0.000042319297790527344
7,0.00006401538848876953
8,0.00012636184692382812
9,-0.00006204843521118164
10,0.0003820657730102539
11,-0.0002855062484741211
12,0.0000033974647521972656
13,0.00008213520050048828
14,0.000004351139068603516
15,0.0000235140323638916
16,0.000110626220703125
17,0.00012767314910888672
18,-0.00010025501251220703
19,0.00012886524200439453
20,-0.000022470951080322266
21,0.00028508901596069336
22,0.00011217594146728516
23,0.0002608299255371094
24,0.00024145841598510742
25,-0.0001353919506072998
26,-0.00008285045623779297
27,-0.00013244152069091797
28,0.0002372264862060547
29,0.0001506805419921875
30,-0.00013184547424316406
31,0.0001043081283569336
32,-0.00003314018249511719
33,-0.00017118453979492188
34,0.00004661083221435547
35,0.00040018558502197266
36,-0.00010538101196289062
37,0.00015532970428466797
38,0.00022518634796142578
39,0.0001564621925354004
40,-0.0002110004425048828
41,0.0002162456512451172
42,-0.00011843442916870117
43,-0.00023305416107177734
44,0.00016582012176513672
45,-0.0004954338073730469
46,-0.0002315044403076172
47,0.0004601478576660156
48,-0.00009101629257202148
49,0.00797128677368164
50,0.0017261505126953125
51,-0.002876877784729004
52,-0.0010461807250976562
53,-0.012143611907958984
54,-0.0021437406539916992
55,-0.008055686950683594
56,-0.013455554842948914
57,0.009522795677185059
58,-0.007644534111022949
59,-0.011548876762390137
60,0.009974896907806396
61,-0.001626729965209961
62,-0.004675626754760742
63,-0.01239466667175293
64,-0.001833200454711914
65,0.010276317596435547
66,0.0007852613925933838
67,0.0021244287490844727
68,-0.011958599090576172
69,-0.009398937225341797
70,-0.004517197608947754
71,-0.0037097930908203125
72,0.004122138023376465
73,0.001977384090423584
74,0.012749716639518738
75,-0.008683562278747559
76,-0.0073995888233184814
77,0.0016486942768096924
78,-0.002153754234313965
79,0.014757394790649414
80,0.0038530826568603516
81,-0.007439136505126953
82,-0.003559589385986328
83,0.008747875690460205
84,0.019564390182495117
85,0.0019475817680358887
86,-0.006815791130065918
87,-0.00891345739364624
88,0.0008349418640136719
89,0.004488170146942139
90,-0.007713913917541504
91,-0.007293701171875
92,-0.0020459890365600586
93,0.010337352752685547
94,-0.0067299604415893555
95,0.016023755073547363
96,-0.006997108459472656
97,0.011911630630493164
98,0.010387718677520752
99,-0.005129218101501465
100,-0.0040340423583984375
101,0.0023261308670043945
102,0.005967497825622559
103,0.0026755034923553467
104,-0.0006398558616638184
105,-0.004523634910583496
106,-0.005501747131347656
107,-0.003614187240600586
108,-0.007575333118438721
109,-0.0031666159629821777
110,-0.0051798224449157715
111,0.011166214942932129
112,-0.0008410811424255371
113,0.011403381824493408
114,-0.014593541622161865
115,-0.0013059377670288086
116,-0.002001821994781494
117,-0.013739466667175293
118,0.003375411033630371
119,0.028405845165252686
120,0.0048171281814575195
121,-0.0038161277770996094
122,0.009400367736816406
123,0.01573026180267334
124,0.010262012481689453
125,0.014240384101867676
126,0.10460129380226135
127,0.042410194873809814
128,0.6664212942123413
129,-0.2905774712562561
130,0.3504102826118469
131,0.14494681358337402
132,0.2298142910003662
133,0.3707934617996216
134,0.04531216621398926
135,-0.024082541465759277
136,-0.19220507144927979
137,0.16933679580688477
138,-0.2641642987728119
139,0.0237848162651062
140,-0.16903561353683472
141,0.09326738119125366
142,0.4173946976661682
143,0.39300215244293213
144,-0.13190695643424988
145,-0.060363173484802246
146,-0.5602787137031555
147,-0.19981497526168823
148,-0.15585565567016602
149,0.393030047416687
150,0.4618113338947296
151,0.29812753200531006
152,-0.16893547773361206
153,-0.32558441162109375
154,0.3083444833755493
155,0.38249051570892334
156,-0.24025094509124756
157,-0.0642818808555603
158,0.2611762285232544
159,-0.1975564956665039
160,0.2107798457145691
161,0.10296952724456787
162,-0.08789020776748657
163,-0.2749953269958496
164,0.011451423168182373
165,-0.3784170150756836
166,-0.43974149227142334
167,-0.2481781244277954
168,0.038451194763183594
169,-0.02933657169342041
170,-0.19986426830291748
171,-0.007541239261627197
172,0.15738070011138916
173,0.0479830801486969
174,0.3403547406196594
175,0.28053033351898193
176,-0.20756953954696655
177,-0.4792931079864502
178,-0.20647907257080078
179,0.04603630304336548
180,0.01921236515045166
181,0.12581855058670044
182,0.20039331912994385
183,-0.4069330394268036
184,-0.042723655700683594
185,0.14558124542236328
186,0.14470037817955017
187,-0.24752801656723022
188,0.1322152018547058
189,-0.2543652057647705
190,0.243011474609375
191,-0.17412394285202026
192,-0.43102943897247314
193,0.018952369689941406
194,-0.08902978897094727
195,0.21168410778045654
196,-0.48093563318252563
197,-0.4522952437400818
198,-0.06998538970947266
199,0.6295095682144165
200,0.02036231756210327
201,-0.16164803504943848
202,-0.36635923385620117
203,-0.2504638433456421
204,0.12577873468399048
205,0.1908053159713745
206,-0.1042940616607666
207,-0.09957635402679443
208,-0.44406795501708984
209,-0.20629417896270752
210,0.08048295974731445
211,0.16615545749664307
212,0.435868501663208
213,-0.4501516819000244
214,-0.21410489082336426
215,0.35441064834594727
216,0.3307451009750366
217,0.2437993288040161
218,-0.484893798828125
219,-0.0647580623626709
220,-0.04456734657287598
221,-0.31288009881973267
222,-0.027168214321136475
223,-0.5470172166824341
224,0.8202646970748901
225,-0.30713987350463867
226,-0.2398146390914917
227,0.11813187599182129
228,-0.026894211769104004
229,0.09959627687931061
230,-0.2919740676879883
231,0.6454347372055054
232,0.258076548576355
233,0.494678258895874
234,0.5253784656524658
235,0.3348914384841919
236,0.08849471807479858
237,0.3325652480125427
238,0.03887245059013367
239,-0.436248779296875
240,-0.030308008193969727
241,0.16469383239746094
242,-0.09750783443450928
243,-0.08123540878295898
244,-0.1909458190202713
245,0.08039224147796631
246,-0.6392883062362671
247,0.297099232673645
248,0.2087630033493042
249,0.0285872220993042
250,-0.009021997451782227
251,-0.08869904279708862
252,0.1979151964187622
253,-0.013741500675678253
254,0.16876405477523804
255,-0.5105183720588684
256,0.7413954734802246
257,-0.031105995178222656
258,0.1931343674659729
259,-0.01052868366241455
260,0.41876041889190674
261,-0.1477997899055481
262,0.12692701816558838
263,-0.2615511119365692
264,0.3035924434661865
265,0.08252453804016113
266,-0.2821207046508789
267,0.04574054479598999
268,0.21651285886764526
269,0.13590800762176514
270,0.45822203159332275
271,-0.42509204149246216
272,0.26382601261138916
273,-0.07755589485168457
274,0.000626683235168457
275,-0.13263003528118134
276,0.042072415351867676
277,0.5656408071517944
278,-0.14510774612426758
279,0.29371941089630127
280,0.579468846321106
281,0.12685775756835938
282,-0.17807793617248535
283,0.37143945693969727
284,-0.10104638338088989
285,-0.07225406169891357
286,0.18256676197052002
287,0.11877456307411194
288,0.03377485275268555
289,0.21359431743621826
290,0.45306527614593506
291,-0.14119848608970642
292,0.6281496286392212
293,0.02692234516143799
294,0.15154215693473816
295,-0.3713814318180084
296,-0.13204419612884521
297,-0.021927714347839355
298,-0.8831068873405457
299,-0.2677304744720459
300,-0.5452244281768799
